author_firstname,author_lastname,title,screen_adaptation
J.K.,Rowling,Harry Potter and the Prisoner of Azkaban,Yes
Kevin,Kwan,Crazy Rich Asians,Yes
John,Green,The Fault in Our Stars,Yes
Jennifer,Niven,All the Bright Places,Yes
Rick,Riordan,Percy Jackson: Sea of Monsters,Yes
J.K.,Rowling,Harry Potter and the Philosopher’s Stone,Yes
George,Orwell,Animal Farm,Yes
E.,Lockhart,We Were Liars,Yes
Lucy,Adlington,The Red Ribbon,Yes
Markus,Zusak,The Book Thief,Yes
Ira,Levin,Rosemary’s Baby,Yes
Susan Eloise,Hinton,The Outsiders,Yes
Agatha,Christie,Murder On The Orient Express,Yes
Harper,Lee,To Kill a Mockingbird,Yes
